Name,Description,Unit,DataType,Attributes
distsender_rpc_err_errordetailtype_0_,Number of ErrorDetailType(0) errors received replica-bound RPCs,,Sum,
distsender_rpc_err_errordetailtype_33_,Number of ErrorDetailType(33) errors received replica-bound RPCs,,Sum,
distsender_rpc_err_errordetailtype_24_,Number of ErrorDetailType(24) errors received replica-bound RPCs,,Sum,
distsender_rpc_err_errordetailtype_19_,Number of ErrorDetailType(19) errors received replica-bound RPCs,,Sum,
distsender_batches_async_throttled,Number of partial batches not sent asynchronously due to throttling,,Sum,
distsender_rpc_transferlease_sent,Number of TransferLease requests processed.,,Sum,
distsender_rpc_barrier_sent,Number of Barrier requests processed.,,Sum,
distsender_rpc_revertrange_sent,Number of RevertRange requests processed.,,Sum,
distsender_rpc_err_transactionretrywithprotorefresherrtype,Number of TransactionRetryWithProtoRefreshErrType errors received replica-bound RPCs,,Sum,
distsender_rpc_err_txnalreadyencounterederrtype,Number of TxnAlreadyEncounteredErrType errors received replica-bound RPCs,,Sum,
distsender_rpc_err_transactionabortederrtype,Number of TransactionAbortedErrType errors received replica-bound RPCs,,Sum,
distsender_rpc_err_errordetailtype_20_,Number of ErrorDetailType(20) errors received replica-bound RPCs,,Sum,
distsender_rpc_err_internalerrtype,Number of InternalErrType errors received replica-bound RPCs,,Sum,
distsender_rpc_heartbeattxn_sent,Number of HeartbeatTxn requests processed.,,Sum,
distsender_rpc_err_raftgroupdeletederrtype,Number of RaftGroupDeletedErrType errors received replica-bound RPCs,,Sum,
distsender_rpc_err_communicationerrtype,Number of CommunicationErrType errors received replica-bound RPCs,,Sum,
distsender_rpc_err_notleaseholdererrtype,Number of NotLeaseHolderErrType errors received replica-bound RPCs,,Sum,
distsender_rpc_checkconsistency_sent,Number of CheckConsistency requests processed.,,Sum,
distsender_rpc_recovertxn_sent,Number of RecoverTxn requests processed.,,Sum,
distsender_rpc_sent_nextreplicaerror,Number of replica-addressed RPCs sent due to per-replica errors,,Sum,
distsender_rangelookups,Number of range lookups,,Sum,
distsender_rpc_sent_local,Number of replica-addressed RPCs sent through the local-server optimization,,Sum,
distsender_rpc_merge_sent,Number of Merge requests processed.,,Sum,
distsender_rpc_err_transactionstatuserrtype,Number of TransactionStatusErrType errors received replica-bound RPCs,,Sum,
distsender_rpc_export_sent,Number of Export requests processed.,,Sum,
distsender_rpc_clearrange_sent,Number of ClearRange requests processed.,,Sum,
distsender_rangefeed_restart_stuck,Number of times a rangefeed was restarted due to not receiving timely updates (kv.rangefeed.range_stuck_threshold cluster setting),,Sum,
distsender_rpc_err_leaserejectederrtype,Number of LeaseRejectedErrType errors received replica-bound RPCs,,Sum,
distsender_rpc_err_rangefeedretryerrtype,Number of RangeFeedRetryErrType errors received replica-bound RPCs,,Sum,
distsender_rpc_refresh_sent,Number of Refresh requests processed.,,Sum,
distsender_rpc_err_transactionpusherrtype,Number of TransactionPushErrType errors received replica-bound RPCs,,Sum,
distsender_rpc_err_errordetailtype_29_,Number of ErrorDetailType(29) errors received replica-bound RPCs,,Sum,
distsender_rpc_adminunsplit_sent,Number of AdminUnsplit requests processed.,,Sum,
distsender_rpc_migrate_sent,Number of Migrate requests processed.,,Sum,
distsender_rpc_gc_sent,Number of GC requests processed.,,Sum,
distsender_rpc_err_errordetailtype_21_,Number of ErrorDetailType(21) errors received replica-bound RPCs,,Sum,
distsender_rpc_err_conditionfailederrtype,Number of ConditionFailedErrType errors received replica-bound RPCs,,Sum,
distsender_rpc_querylocks_sent,Number of QueryLocks requests processed.,,Sum,
distsender_errors_inleasetransferbackoffs,Number of times backed off due to NotLeaseHolderErrors during lease transfer,,Sum,
distsender_rpc_pushtxn_sent,Number of PushTxn requests processed.,,Sum,
distsender_rpc_endtxn_sent,Number of EndTxn requests processed.,,Sum,
distsender_rpc_adminmerge_sent,Number of AdminMerge requests processed.,,Sum,
distsender_rpc_err_mvcchistorymutationerrtype,Number of MVCCHistoryMutationErrType errors received replica-bound RPCs,,Sum,
distsender_rpc_err_replicatooolderrtype,Number of ReplicaTooOldErrType errors received replica-bound RPCs,,Sum,
distsender_rpc_err_rangenotfounderrtype,Number of RangeNotFoundErrType errors received replica-bound RPCs,,Sum,
distsender_rpc_adminrelocaterange_sent,Number of AdminRelocateRange requests processed.,,Sum,
distsender_rpc_probe_sent,Number of Probe requests processed.,,Sum,
distsender_rpc_leaseinfo_sent,Number of LeaseInfo requests processed.,,Sum,
distsender_batches,Number of batches processed,,Sum,
distsender_rpc_err_indeterminatecommiterrtype,Number of IndeterminateCommitErrType errors received replica-bound RPCs,,Sum,
distsender_rpc_get_sent,Number of Get requests processed.,,Sum,
distsender_rpc_err_nodeunavailableerrtype,Number of NodeUnavailableErrType errors received replica-bound RPCs,,Sum,
distsender_rpc_err_rangekeymismatcherrtype,Number of RangeKeyMismatchErrType errors received replica-bound RPCs,,Sum,
distsender_batches_partial,Number of partial batches processed after being divided on range boundaries,,Sum,
distsender_rpc_recomputestats_sent,Number of RecomputeStats requests processed.,,Sum,
distsender_rpc_err_mergeinprogresserrtype,Number of MergeInProgressErrType errors received replica-bound RPCs,,Sum,
distsender_rpc_requestlease_sent,Number of RequestLease requests processed.,,Sum,
distsender_rpc_err_errordetailtype_30_,Number of ErrorDetailType(30) errors received replica-bound RPCs,,Sum,
distsender_rpc_adminscatter_sent,Number of AdminScatter requests processed.,,Sum,
